Title			Director		Release Date	Rating		Runtime	Genre   	Movie is in Stock	Number of Holds Placed	Days Overdue
Inception		Christopher Nolan	2010		PG-13		164	Sci Fi		true			0			0
Avengers		Joss Whedon		2012		PG-13		144	Superhero	false			2			0
Gladiator		Ridley Scott		2000		R		171	Action		true			3			0
The Social Network	David Fincher		2010		PG-13		121	Biopic		false			0			0
They Live		John Carpenter		1988		R		97	Horror		true			2			0
Knocked Up		Judd Apatow		2007		R		128	Rom Com		false			1			5
Pineapple Express	David Gordon Green	2008		PG-13		117	Comedy		false			2			1
Fight Club		David Fincher		1999		R		151	Thriller	true			1			0
Jurassic Park		Steven Spielberg	1993		PG		127	Sci Fi		true			2			0
Joker			Todd Phillips		2019		R		122	Thriller	false			3			2
Inception		Christopher Nolan	2010		PG-13		164	Sci Fi		true			0			0
